customer_id,full_name,segment,total_spend,total_orders,return_count,total_revenue,gross_revenue,return_amount,avg_order_value,first_purchase,last_purchase,days_since_last_purchase,customer_tenure_months,purchase_frequency,customer_lifetime_value,customer_segment_score,recency_score,frequency_score,monetary_score
CUS-00000624,Christopher Jones,VIP,26052.55,6,0,15813.41,15813.41,0.0,2635.568333333333,2022-01-29,2024-12-22,416,35,0.17142858,5421.7405714285715,3.25,1,4,5
CUS-00000539,Barbara Dubois,Silver,26211.86,4,0,10211.609999999999,10211.609999999999,0.0,2552.9024999999997,2022-06-05,2023-12-20,784,95,0.042105265,1289.8875789473682,2.90,1,3,5
CUS-00000209,Fatima Mueller,Bronze,25520.89,4,2,5461.24,6399.7,-938.46,1365.31,2022-10-07,2023-10-26,839,16,0.25,4095.93,2.90,1,3,5
CUS-00000881,Sarah Brown,Gold,1572.51,6,0,18434.71,18434.71,0.0,3072.4516666666664,2022-09-04,2024-09-26,503,28,0.21428572,7900.589999999999,3.25,1,4,5
CUS-00000202,Priya Martinez,Gold,31195.43,3,1,1648.77,3455.7200000000003,-1806.95,549.59,2022-11-26,2024-11-29,439,94,0.031914894,210.4812765957447,2.90,1,3,5
CUS-00000880,Jessica Williams,Silver,39456.46,6,0,13407.95,13407.95,0.0,2234.6583333333333,2022-12-24,2024-09-01,528,20,0.3,8044.77,3.25,1,4,5
CUS-00000447,Liam Jones,Gold,46415.7,4,0,4488.7300000000005,4488.7300000000005,0.0,1122.1825000000001,2022-12-29,2024-11-06,462,27,0.14814815,1994.9911111111114,2.90,1,3,5
CUS-00000363,Thomas Davis,platinum,46064.23,6,0,18003.21,18003.21,0.0,3000.535,2022-04-20,2024-04-14,668,35,0.17142858,6172.529142857144,3.25,1,4,5
CUS-00000150,Patricia Brown,VIP,26865.18,4,0,14667.749999999998,14667.749999999998,0.0,3666.9374999999995,2022-03-19,2023-09-02,893,26,0.15384616,6769.730769230769,2.90,1,3,5
CUS-00000427,Christopher Wang,VIP,23087.74,4,0,11941.08,11941.08,0.0,2985.27,2022-02-25,2024-09-09,520,52,0.07692308,2755.633846153846,2.90,1,3,5
CUS-00000914,Emma Kim,PLATINUM,39407.81,6,0,20424.26,20424.26,0.0,3404.043333333333,2022-08-16,2024-10-20,479,28,0.21428572,8753.254285714285,3.25,1,4,5
CUS-00000773,Sarah Jones,Gold,19533.14,4,0,12581.18,12581.18,0.0,3145.295,2022-10-13,2024-09-17,512,71,0.056338027,2126.39661971831,2.90,1,3,5
CUS-00000006,Fatima Williams,VIP,-41084.28,8,0,25456.21,25456.21,0.0,3182.02625,2022-01-27,2024-11-28,440,97,0.082474224,3149.221855670103,3.25,1,4,5
CUS-00000763,Robert Chen,platinum,33624.04,1,0,592.08,592.08,0.0,592.08,2022-04-21,2022-04-21,1392,66,0.015151516,107.6509090909091,2.25,1,2,4
CUS-00000277,Patricia Miller,BRONZE,34477.89,5,0,13644.36,13644.36,0.0,2728.8720000000003,2022-06-27,2024-08-22,538,20,0.25,8186.616000000001,2.90,1,3,5
CUS-00000337,Susan Mueller,Bronze,10514.98,4,0,7677.73,7677.73,0.0,1919.4325,2023-05-25,2024-12-31,407,30,0.13333334,3071.0919999999996,2.90,1,3,5
CUS-00000387,Fatima Smith,Bronze,11871.51,3,1,3132.2200000000003,3997.48,-865.26,1044.0733333333335,2022-03-17,2024-05-07,645,63,0.04761905,596.6133333333335,2.90,1,3,5
CUS-00000005,Robert Davis,Silver,36840.45,11,0,49724.340000000004,49724.340000000004,0.0,4520.394545454546,2022-01-04,2024-12-26,412,69,0.1594203,8647.711304347828,3.60,1,5,5
CUS-00000514,Patricia Garcia,Silver,2194.41,3,0,8184.94,8184.94,0.0,2728.313333333333,2022-03-01,2024-06-23,598,46,0.06521739,2135.2017391304344,2.90,1,3,5
CUS-00000564,Priya Mueller,BRONZE,10068.5,4,0,11008.220000000001,11008.220000000001,0.0,2752.0550000000003,2023-03-13,2024-06-05,616,46,0.08695652,2871.7095652173916,2.90,1,3,5
CUS-00000071,Christopher Brown,Silver,863.06,3,0,4049.9799999999996,4049.9799999999996,0.0,1349.993333333333,2022-05-02,2024-10-17,482,95,0.031578947,511.57642105263153,2.90,1,3,5
CUS-00000262,Susan Kim,Gold,36453.57,5,0,10398.53,10398.53,0.0,2079.706,2022-04-26,2024-09-08,521,68,0.073529415,1835.0347058823531,2.90,1,3,5
CUS-00000486,Richard Chen,Gold,26318.14,4,0,4805.28,4805.28,0.0,1201.32,2022-02-22,2024-11-08,460,18,0.22222222,3203.5199999999995,2.90,1,3,5
CUS-00000998,Michael Garcia,VIP,33539.34,3,0,4749.01,4749.01,0.0,1583.0033333333333,2022-02-08,2023-10-10,855,61,0.04918033,934.2314754098361,2.90,1,3,5
CUS-00000723,Yuki Wang,Bronze,40690.48,7,0,28010.359999999997,28010.359999999997,0.0,4001.4799999999996,2022-01-18,2023-10-29,836,96,0.072916664,3501.294999999999,3.25,1,4,5
CUS-00000519,Sarah Smith,VIP,23741.35,5,0,17097.600000000002,17097.600000000002,0.0,3419.5200000000004,2022-05-01,2024-11-12,456,73,0.06849315,2810.564383561644,2.90,1,3,5
CUS-00000362,Karen Martinez,Silver,17765.09,1,0,2687.0499999999997,2687.0499999999997,0.0,2687.0499999999997,2023-02-06,2023-02-06,1101,59,0.016949153,546.5186440677966,2.55,1,2,5
CUS-00000793,Mary Wang,Gold,6929.51,3,0,13838.86,13838.86,0.0,4612.953333333334,2022-05-24,2024-07-19,572,46,0.06521739,3610.137391304348,2.90,1,3,5
CUS-00000409,James Anderson,Platinum,12784.33,4,0,20445.940000000002,20445.940000000002,0.0,5111.485000000001,2022-04-18,2024-10-30,469,41,0.09756097,5984.1775609756105,2.90,1,3,5
CUS-00000429,Emma Smith,SILVER,25470.41,2,0,959.23,959.23,0.0,479.615,2022-07-10,2023-12-28,776,56,0.035714287,205.54928571428573,2.25,1,2,4
CUS-00000575,Hans Johnson,VIP,6897.98,3,1,2413.6399999999994,5300.32,-2886.6800000000003,804.5466666666665,2022-09-12,2023-03-27,1052,42,0.071428575,689.6114285714284,2.90,1,3,5
CUS-00000640,James Williams,Platinum,13195.22,1,0,1947.3799999999999,1947.3799999999999,0.0,1947.3799999999999,2022-10-18,2022-10-18,1212,23,0.04347826,1016.0243478260869,2.55,1,2,5
CUS-00000618,Marie Chen,Gold,43888.62,3,0,9928.97,9928.97,0.0,3309.6566666666663,2023-09-06,2024-09-29,500,81,0.037037037,1470.9585185185183,2.90,1,3,5
CUS-00000431,Richard Dubois,Gold,11968.74,5,1,7454.7699999999995,9778.869999999999,-2324.1000000000004,1490.954,2022-09-06,2024-11-11,457,51,0.09803922,1754.0635294117646,2.90,1,3,5
CUS-00000957,Jennifer O'Brien,Platinum,32478.96,3,0,8374.02,8374.02,0.0,2791.34,2024-03-05,2024-11-02,466,96,0.03125,1046.7525,2.90,1,3,5
CUS-00000797,Linda O'Brien,Gold,42541.26,2,0,6087.8099999999995,6087.8099999999995,0.0,3043.9049999999997,2023-11-11,2024-07-07,584,25,0.08,2922.1488,2.55,1,2,5
CUS-00000950,Robert Kim,Platinum,4292.93,4,0,13104.65,13104.65,0.0,3276.1625,2022-06-09,2024-06-18,603,49,0.08163265,3209.3020408163266,2.90,1,3,5
CUS-00000756,David Garcia,Silver,5691.2,8,0,18550.320000000003,18550.320000000003,0.0,2318.7900000000004,2022-10-24,2024-10-11,488,72,0.11111111,3091.7200000000003,3.25,1,4,5
CUS-00000276,Patricia Patel,Platinum,17652.34,5,0,18960.62,18960.62,0.0,3792.124,2023-05-13,2024-11-26,442,17,0.29411766,13383.967058823528,2.90,1,3,5
CUS-00000540,Marie O'Brien,Silver,19692.54,5,0,19534.29,19534.29,0.0,3906.858,2022-04-15,2024-03-28,685,93,0.05376344,2520.553548387097,2.90,1,3,5
CUS-00000690,Christopher Brown,Silver,8872.52,4,1,10054.21,10064.07,-9.86,2513.5525,2023-05-21,2024-11-05,463,87,0.04597701,1386.7875862068963,2.90,1,3,5
CUS-00000959,John Silva,Bronze,35351.65,5,0,10209.71,10209.71,0.0,2041.9419999999998,2022-01-13,2023-12-14,790,58,0.0862069,2112.353793103448,2.90,1,3,5
CUS-00000649,Thomas Tanaka,Bronze,8876.45,4,0,3657.29,3657.29,0.0,914.3225,2022-02-01,2024-02-05,737,77,0.051948052,569.9672727272728,2.90,1,3,5
CUS-00000252,Joseph Tanaka,Platinum,9155.83,8,0,16041.259999999998,16041.259999999998,0.0,2005.1574999999998,2022-06-14,2024-03-15,698,71,0.112676054,2711.198873239436,3.25,1,4,5
CUS-00000344,Richard Anderson,silver,41833.97,7,0,22227.79,22227.79,0.0,3175.3985714285714,2023-06-23,2024-06-18,603,44,0.1590909,6062.124545454546,3.25,1,4,5
CUS-00000407,Robert Brown,Gold,18431.66,5,0,20892.64,20892.64,0.0,4178.528,2022-02-28,2024-03-16,697,42,0.11904762,5969.325714285715,2.90,1,3,5
CUS-00000332,Wei Miller,Gold,6319.4,5,0,26731.23,26731.23,0.0,5346.246,2024-02-24,2024-11-26,442,91,0.054945055,3524.997362637363,2.90,1,3,5
CUS-00000665,Sarah Kim,VIP,20724.18,5,0,5517.65,5517.65,0.0,1103.53,2022-08-09,2024-10-17,482,56,0.08928572,1182.3535714285713,2.90,1,3,5
CUS-00000253,Patricia Johnson,Gold,10390.45,4,0,8535.78,8535.78,0.0,2133.945,2022-01-18,2024-08-09,551,68,0.05882353,1506.314117647059,2.90,1,3,5
CUS-00000208,Carlos Jones,vip,7617.64,4,0,20824.340000000004,20824.340000000004,0.0,5206.085000000001,2023-03-15,2023-12-11,793,30,0.13333334,8329.736,2.90,1,3,5
CUS-00000806,David Brown,Bronze,43060.49,5,0,18832.69,18832.69,0.0,3766.5379999999996,2022-03-12,2024-01-05,768,63,0.07936508,3587.179047619047,2.90,1,3,5
CUS-00000463,Hans Rodriguez,GOLD,33116.46,11,0,10670.31,10670.31,0.0,970.0281818181818,2022-01-04,2024-08-13,547,52,0.21153846,2462.3792307692306,3.60,1,5,5
CUS-00000648,Joseph Smith,BRONZE,0.0,16,0,42280.2,42280.2,0.0,2642.5125,2022-02-20,2024-12-17,421,36,0.44444445,14093.399999999998,3.60,1,5,5
CUS-00000108,Yuki Dubois,Platinum,37592.74,6,0,19318.559999999998,19318.559999999998,0.0,3219.7599999999998,2022-05-24,2024-05-04,648,60,0.1,3863.7119999999995,3.25,1,4,5
CUS-00000658,Yuki Mueller,platinum,18951.16,7,0,25770.659999999996,25770.659999999996,0.0,3681.5228571428565,2022-10-06,2024-12-28,410,20,0.35,15462.395999999999,3.25,1,4,5
CUS-00000341,David Patel,platinum,18381.21,7,0,10987.79,10987.79,0.0,1569.6842857142858,2022-03-25,2024-11-16,452,66,0.10606061,1997.7800000000002,3.25,1,4,5
CUS-00000780,Richard Dubois,Platinum,36162.86,4,0,8892.09,8892.09,0.0,2223.0225,2022-11-06,2024-02-09,733,56,0.071428575,1905.4478571428572,2.90,1,3,5
CUS-00000382,Jessica Miller,Gold,36335.94,10,1,31050.390000000003,34807.64,-3757.25,3105.039,2022-03-21,2024-06-26,595,52,0.1923077,7165.474615384616,3.25,1,4,5
CUS-00000995,Robert Rodriguez,Gold,33963.27,4,0,17600.960000000003,17600.960000000003,0.0,4400.240000000001,2022-10-10,2024-05-29,623,84,0.04761905,2514.4228571428575,2.90,1,3,5
CUS-00000509,Elizabeth Kim,Gold,39367.13,2,1,3547.9099999999994,6952.799999999999,-3404.89,1773.9549999999997,2024-07-11,2024-09-13,516,29,0.06896552,1468.1006896551721,2.55,1,2,5
CUS-00000652,Hans O'Brien,Platinum,34177.92,6,0,12200.88,12200.88,0.0,2033.4799999999998,2022-05-13,2024-08-17,543,92,0.06521739,1591.4191304347823,3.25,1,4,5
CUS-00000558,James Mueller,Platinum,28766.8,3,0,12312.96,12312.96,0.0,4104.32,2022-08-27,2024-03-03,710,81,0.037037037,1824.1422222222222,2.90,1,3,5
CUS-00000309,Richard O'Brien,platinum,23100.9,7,1,24525.68,26973.11,-2447.43,3503.6685714285713,2022-04-22,2024-09-18,511,47,0.14893617,6261.875744680851,3.25,1,4,5
CUS-00000508,Jessica Jones,VIP,13051.98,5,0,15906.6,15906.6,0.0,3181.32,2022-12-05,2024-10-11,488,56,0.08928572,3408.557142857143,2.90,1,3,5
CUS-00000512,James Smith,Bronze,29760.48,5,0,11728.83,11728.83,0.0,2345.766,2022-04-22,2024-12-01,437,32,0.15625,4398.31125,2.90,1,3,5
CUS-00000069,Marie Patel,Platinum,12742.43,3,0,6295.5,6295.5,0.0,2098.5,2024-02-23,2024-10-19,480,88,0.03409091,858.4772727272727,2.90,1,3,5
CUS-00000718,Elizabeth Wang,VIP,7312.3,8,1,11298.699999999999,15985.169999999998,-4686.47,1412.3374999999999,2022-08-06,2024-11-05,463,53,0.1509434,2558.1962264150943,3.25,1,4,5
CUS-00000385,Joseph Williams,Silver,22183.37,7,0,26403.76,26403.76,0.0,3771.965714285714,2022-01-14,2024-10-28,471,46,0.1521739,6887.937391304347,3.25,1,4,5
CUS-00000626,Marie Patel,VIP,0.0,5,0,16220.199999999997,16220.199999999997,0.0,3244.0399999999995,2022-10-14,2024-04-13,669,17,0.29411766,11449.55294117647,2.90,1,3,5
CUS-00000461,Joseph Garcia,Platinum,26878.5,9,1,15956.669999999998,18586.85,-2630.18,1772.9633333333331,2022-01-11,2024-12-28,410,47,0.19148937,4074.043404255319,3.25,1,4,5
CUS-00000733,Marie Martinez,Platinum,29482.15,3,0,16037.539999999999,16037.539999999999,0.0,5345.846666666666,2022-09-02,2024-09-16,513,83,0.036144577,2318.6804819277104,2.90,1,3,5
CUS-00000248,James Brown,Platinum,5379.82,3,0,2900.49,2900.49,0.0,966.8299999999999,2022-02-09,2024-01-02,771,70,0.042857144,497.22685714285717,2.90,1,3,5
CUS-00000590,Karen Dubois,Bronze,-26020.04,8,0,32690.16,32690.16,0.0,4086.27,2022-05-03,2024-05-18,634,54,0.14814815,7264.48,3.25,1,4,5
CUS-00000501,Ahmed Martinez,SILVER,13861.94,5,0,27175.26,27175.26,0.0,5435.052,2022-05-11,2024-05-12,640,54,0.09259259,6038.946666666667,2.90,1,3,5
CUS-00000136,Karen Smith,Bronze,-17837.17,5,1,867.6599999999996,4985.889999999999,-4118.2300000000005,173.53199999999993,2022-06-07,2024-07-02,589,64,0.078125,162.68624999999992,2.60,1,3,4
CUS-00000974,James Tanaka,Gold,17900.66,6,0,31231.95,31231.95,0.0,5205.325,2022-01-25,2024-08-13,547,30,0.2,12492.78,3.25,1,4,5
CUS-00000785,Ahmed Johnson,Bronze,1588.65,4,2,-3227.7500000000005,4592.8,-7820.55,-806.9375000000001,2022-06-08,2024-08-22,538,66,0.060606062,-586.8636363636365,2.00,1,3,2
CUS-00000410,Joseph Mueller,Silver,28553.89,5,0,7608.92,7608.92,0.0,1521.784,2022-07-24,2024-05-07,645,90,0.055555556,1014.5226666666667,2.90,1,3,5
CUS-00000550,Jessica Silva,Bronze,11482.53,6,0,16801.37,16801.37,0.0,2800.228333333333,2022-02-23,2024-05-06,646,49,0.12244898,4114.621224489796,3.25,1,4,5
CUS-00000012,Richard Miller,VIP,6453.14,6,0,23133.600000000002,23133.600000000002,0.0,3855.6000000000004,2022-08-15,2024-03-07,706,43,0.13953489,6455.888372093024,3.25,1,4,5
CUS-00000632,Fatima Miller,Platinum,4504.39,3,0,1719.45,1719.45,0.0,573.15,2022-03-01,2023-06-18,969,92,0.032608695,224.27608695652174,2.90,1,3,5
CUS-00000956,Robert Miller,Silver,46975.76,9,1,19568.92,22752.829999999998,-3183.91,2174.3244444444445,2022-10-04,2024-03-25,688,37,0.24324325,6346.676756756756,3.25,1,4,5
CUS-00000882,Fatima Patel,Silver,33448.23,2,0,2380.91,2380.91,0.0,1190.455,2024-09-10,2024-10-01,498,49,0.040816326,583.0799999999999,2.55,1,2,5
CUS-00000338,Sarah Dubois,Bronze,49627.99,4,1,7623.709999999999,9216.01,-1592.3000000000002,1905.9274999999998,2022-03-04,2024-09-02,527,94,0.04255319,973.239574468085,2.90,1,3,5
CUS-00000089,Sarah Davis,Gold,27083.55,3,0,7788.23,7788.23,0.0,2596.0766666666664,2022-04-01,2023-12-10,794,94,0.031914894,994.2421276595744,2.90,1,3,5
CUS-00000364,Karen Chen,Gold,29732.06,6,1,11192.330000000002,11497.62,-305.28999999999996,1865.3883333333335,2022-02-21,2024-09-10,519,81,0.074074075,1658.1229629629634,3.25,1,4,5
CUS-00000004,Robert Williams,Bronze,19508.48,2,0,5564.26,5564.26,0.0,2782.13,2022-02-13,2023-01-01,1137,91,0.021978023,733.7485714285715,2.55,1,2,5
CUS-00000371,Barbara Rodriguez,Platinum,18382.6,7,2,7245.369999999999,9463.53,-2218.16,1035.052857142857,2022-07-23,2024-04-05,677,28,0.25,3105.158571428571,3.25,1,4,5
CUS-00000396,William Silva,Gold,21415.95,7,1,22169.8,26831.719999999998,-4661.919999999999,3167.1142857142854,2022-09-16,2024-12-18,420,50,0.14,5320.7519999999995,3.25,1,4,5
CUS-00000289,Marie Mueller,Bronze,10026.08,6,1,11554.41,14503.83,-2949.42,1925.735,2023-02-01,2024-08-09,551,50,0.12,2773.0584,3.25,1,4,5
CUS-00000758,Yuki Wang,Platinum,39308.29,5,2,4780.120000000001,9301.54,-4521.42,956.0240000000001,2022-12-18,2024-12-21,417,38,0.13157895,1509.5115789473687,2.90,1,3,5
CUS-00000707,David Kim,Silver,29127.37,3,0,7493.68,7493.68,0.0,2497.8933333333334,2023-03-08,2024-02-11,731,89,0.033707865,1010.3838202247191,2.90,1,3,5
CUS-00000518,Jennifer Rodriguez,Platinum,3607.77,2,0,2033.27,2033.27,0.0,1016.635,2022-09-05,2024-03-29,684,30,0.06666667,813.308,2.55,1,2,5
CUS-00000572,Barbara Wang,VIP,46642.24,3,0,4733.23,4733.23,0.0,1577.743333333333,2022-03-25,2023-04-20,1028,19,0.15789473,2989.4084210526316,2.90,1,3,5
CUS-00000476,Liam Dubois,VIP,28198.86,2,0,6521.700000000001,6521.700000000001,0.0,3260.8500000000004,2022-09-02,2023-01-09,1129,66,0.030303031,1185.7636363636366,2.55,1,2,5
CUS-00000110,Marie Smith,Gold,41628.61,4,1,963.1600000000005,6054.110000000001,-5090.95,240.79000000000013,2022-12-25,2024-11-13,455,54,0.074074075,214.03555555555567,2.60,1,3,4
CUS-00000190,Hans Brown,Gold,17178.37,2,0,4497.7300000000005,4497.7300000000005,0.0,2248.8650000000002,2023-05-31,2023-07-05,952,25,0.08,2158.9104,2.55,1,2,5
CUS-00000530,James Rodriguez,VIP,10964.68,2,0,3238.3900000000003,3238.3900000000003,0.0,1619.1950000000002,2022-06-02,2024-12-16,422,61,0.032786883,637.0603278688525,2.55,1,2,5
CUS-00000351,Linda O'Brien,Gold,9365.68,2,0,11028.79,11028.79,0.0,5514.395,2022-01-07,2023-02-03,1104,21,0.0952381,6302.165714285715,2.55,1,2,5
CUS-00000451,Robert Mueller,Gold,22872.3,2,0,1363.85,1363.85,0.0,681.925,2022-02-26,2022-08-26,1265,36,0.055555556,454.6166666666667,2.55,1,2,5
CUS-00000342,Thomas O'Brien,Silver,9940.31,4,0,6174.3099999999995,6174.3099999999995,0.0,1543.5774999999999,2023-05-12,2024-08-04,556,91,0.043956045,814.1947252747252,2.90,1,3,5
CUS-00000754,Susan Dubois,vip,12336.89,3,0,5995.19,5995.19,0.0,1998.3966666666665,2023-06-25,2024-10-08,491,92,0.032608695,781.9813043478259,2.90,1,3,5
CUS-00000211,Emma Tanaka,Platinum,38308.81,5,0,15591.029999999999,15591.029999999999,0.0,3118.2059999999997,2022-03-01,2024-10-29,470,96,0.052083332,1948.8787499999999,2.90,1,3,5
CUS-00000521,William Jones,Gold,39970.67,7,1,22967.979999999996,24931.429999999997,-1963.45,3281.1399999999994,2022-01-18,2024-09-04,525,93,0.07526882,2963.6103225806446,3.25,1,4,5
CUS-00000404,Jessica Johnson,Gold,48414.9,7,1,8222.45,8674.57,-452.12,1174.6357142857144,2022-06-17,2024-11-03,465,26,0.26923078,3794.9769230769234,3.25,1,4,5
CUS-00000350,David Tanaka,Bronze,35903.31,4,0,8961.560000000001,8961.560000000001,0.0,2240.3900000000003,2022-06-25,2023-12-24,780,46,0.08695652,2337.7982608695656,2.90,1,3,5
CUS-00000494,James Dubois,Gold,4168.29,2,0,5062.59,5062.59,0.0,2531.295,2024-06-14,2024-10-06,493,56,0.035714287,1084.8407142857143,2.55,1,2,5
CUS-00000466,Thomas Kim,Bronze,9609.87,6,0,16752.52,16752.52,0.0,2792.0866666666666,2023-03-12,2024-11-26,442,20,0.3,10051.511999999999,3.25,1,4,5
CUS-00000982,Jessica Tanaka,bronze,16610.65,5,0,9048.970000000001,9048.970000000001,0.0,1809.7940000000003,2022-07-06,2024-10-17,482,45,0.11111111,2413.058666666667,2.90,1,3,5
CUS-00000705,Jessica Martinez,VIP,31703.48,12,0,33960.53999999999,33960.53999999999,0.0,2830.0449999999996,2022-01-13,2024-05-27,625,26,0.46153846,15674.095384615382,3.60,1,5,5
CUS-00000212,William Rodriguez,VIP,31407.87,3,0,11002.199999999999,11002.199999999999,0.0,3667.3999999999996,2022-08-12,2024-05-15,637,44,0.06818182,3000.6,2.90,1,3,5
CUS-00000656,Susan Wang,Bronze,28967.95,9,0,15483.140000000001,15483.140000000001,0.0,1720.348888888889,2022-02-03,2024-10-25,474,66,0.13636364,2815.116363636364,3.25,1,4,5
CUS-00000443,Jennifer Brown,Bronze,2588.21,7,2,4246.279999999999,11317.57,-7071.290000000001,606.6114285714284,2022-01-24,2024-07-19,572,85,0.08235294,599.4748235294117,3.25,1,4,5
CUS-00000762,Christopher Wang,Gold,9680.76,4,0,8877.09,8877.09,0.0,2219.2725,2022-06-16,2024-02-25,717,85,0.047058824,1253.2362352941177,2.90,1,3,5
CUS-00000270,Yuki Wang,Silver,5072.47,6,0,16913.76,16913.76,0.0,2818.9599999999996,2022-07-29,2024-03-27,686,84,0.071428575,2416.2514285714287,3.25,1,4,5
CUS-00000860,Thomas O'Brien,Bronze,30573.81,8,0,32961.28,32961.28,0.0,4120.16,2022-03-01,2024-10-25,474,95,0.08421053,4163.5301052631585,3.25,1,4,5
CUS-00000290,Linda Martinez,Bronze,3980.13,4,0,4834.710000000001,4834.710000000001,0.0,1208.6775000000002,2023-02-16,2023-11-30,804,35,0.114285715,1657.6148571428575,2.90,1,3,5
